,dbn,4yr_pct_ch,6yr_pct_ch,is_co_located,borough_code,economic_need_index_y,total_enrollment,disability,ell,poverty
121,07X670,1.11908646,1.293497364,TRUE,X,0.93,-0.175043328,-0.98540107,0.061946903,0.021324355
122,08X269,0.928571429,0.998702983,FALSE,X,0.924,0.131481481,-0.9875,-0.023809524,0.113087675
123,08X282,1.004573171,0.967989757,TRUE,X,0.945,-0.417721519,-0.990344828,2.943396226,0.085946574
124,08X293,0.939929329,1.187070151,TRUE,X,0.824,-0.050660793,-0.990643777,-0.071428571,0.119596542
125,08X312,0.88368984,0.940721649,TRUE,X,0.855,-0.181451613,-0.990511811,-0.216666667,0.146551724
126,08X377,0.763779528,0.682879377,TRUE,X,0.888,-0.313131313,-0.978604651,-0.075,0.233859397
127,08X405,0.784140969,0.936507937,TRUE,X,0.835,-0.563865954,-0.989324895,0.180851064,0.132867133
128,08X452,0.883445946,0.947443182,TRUE,X,0.923,0.53968254,-0.99170418,0.452631579,0.217808219
129,08X519,inf,1.064718163,FALSE,X,,,,,
130,08X530,0.606886657,0.929276316,TRUE,X,0.921,-0.098901099,-0.988897059,0.227272727,0.08313253
131,08X537,0.268156425,0.765463918,TRUE,X,0.936,-0.088785047,-0.961914894,0.513513514,0.194904459
132,09X227,0.637767221,0.842253521,TRUE,X,0.929,-0.016853933,-0.989838057,-0.501650165,0.116966581
133,09X231,0.948033708,0.987452949,FALSE,X,0.826,-0.234108527,-0.989275362,0.205128205,0.012376238
134,09X241,1.251768034,1.06002265,TRUE,X,0.926,-0.009917355,-0.985329949,0.132075472,-0.003222342
135,09X250,1.0075,0.91237678,TRUE,X,0.889,-0.070921986,-0.987980296,-0.216494845,-0.074433657
137,09X252,1.045454545,1.074556213,TRUE,X,0.933,-0.060686016,-0.989708333,-0.17699115,0.042222222
138,09X260,1.005452563,1.024312896,TRUE,X,0.827,-0.043383948,-0.987177914,0.333333333,-1.32E-16
140,09X263,0.912429379,0.955500618,TRUE,X,0.942,-0.040106952,-0.987427184,-0.158273381,0.04180418
141,09X297,0.777496839,0.869017632,TRUE,X,0.944,-0.068965517,-0.989918699,-0.244186047,0.039387309
142,09X324,0.923,1.061002179,TRUE,X,0.908,-0.082677165,-0.986272189,-0.145833333,-0.044711014
143,09X329,0.473684211,0.553763441,TRUE,X,0.948,-0.214492754,-0.987486339,-0.147058824,0.181818182
144,09X365,0.872210953,0.895277207,TRUE,X,0.95,0.099667774,-0.986216216,-0.237556561,-0.017580145
145,09X403,0.667567568,0.741935484,TRUE,X,0.95,-0.094202899,-0.99245283,0,-0.016806723
146,09X404,1.011345219,1.138845554,TRUE,X,0.95,-0.371212121,-0.990821429,-0.086206897,0.01650165
147,09X412,0.639880952,0.790830946,TRUE,X,0.95,-0.155988858,-0.990083333,0.254237288,0.256410256
148,09X413,1.030552291,1.003141361,TRUE,X,0.897,-0.08172043,-0.977227723,1.731707317,0.203651685
149,09X505,1.033816425,1.039534884,FALSE,X,0.891,-0.042690815,-0.986309524,0.785714286,-0.025246981
150,09X517,0.946280992,0.91191067,TRUE,X,0.935,-0.187804878,-0.987162791,0.591304348,0.019362187
151,09X525,0.910969793,0.911976912,FALSE,X,0.95,-0.344585091,-0.988109244,0.407079646,0.030439684
152,09X543,0.775671406,0.886845827,TRUE,X,0.943,-0.404761905,-0.988501873,0.764150943,-0.017334778
153,10X141,0.853101197,0.946921444,FALSE,X,0.521,0.136531365,-0.991333333,0.226415094,-0.057996485
154,10X213,1.005464481,0.988607595,TRUE,X,0.887,-0.05952381,-0.988767123,0.363636364,0.124105012
155,10X225,0.985731272,1.059466019,TRUE,X,0.889,-0.099827883,-0.988636364,0.636363636,0.134328358
156,10X237,0.947592068,1.115281501,TRUE,X,0.874,-0.331588133,-0.98828877,0.382022472,0.27258567
157,10X243,0.93,0.933643772,TRUE,X,0.936,0.004909984,-0.989409449,0.007194245,0.00750268
158,10X268,0.764705882,0.920967742,TRUE,X,0.95,-0.020316027,-0.987368421,-0.038845727,-0.025641026
159,10X284,0.839240506,0.960858586,TRUE,X,0.907,-0.098850575,-0.990717489,1.691489362,0.049940547
160,10X319,1.016393443,0.98489426,FALSE,X,0.918,0.044052863,-0.98875,0.666666667,0.044724771
161,10X342,0.981538462,0.89504717,TRUE,X,0.95,-0.064456722,-0.987901235,-0.055405405,-0.030612245
162,10X368,0.767364939,0.835106383,TRUE,X,0.828,-0.034749035,-0.987816092,0.239130435,-0.028888889
163,10X374,0.967007964,0.977173913,TRUE,X,0.883,-0.098501071,-0.987539267,-0.203125,-0.021276596
164,10X397,0.98019802,0.75,TRUE,X,0.95,-0.056716418,-0.995,-0.016913319,0.012889366
165,10X433,0.836609337,0.926857143,TRUE,X,0.921,-0.170340681,-0.98995614,0.106481481,-0.03030303
166,10X434,0.783816425,0.805102041,TRUE,X,0.865,-0.051219512,-0.986273292,-0.07,-0.043333333
167,10X437,0.880252101,0.902083333,TRUE,X,0.819,-0.093366093,-0.989823009,-0.538461538,-0.039149888
168,10X438,0.426487093,0.763328999,TRUE,X,0.935,-0.189130435,-0.990962963,-0.119318182,-0.02090209
169,10X439,0.721638655,0.988518944,TRUE,X,0.891,0.007444169,-0.990859375,-0.238993711,-0.033405172
170,10X440,0.700898588,1.042925278,TRUE,X,0.865,-0.644938092,-0.988418079,-0.488372093,0.096446701
171,10X442,0.895768834,0.992647059,TRUE,X,0.804,0.01146789,-0.982268908,0.102564103,0.017772512
172,10X445,1.001004016,1,FALSE,X,0.411,-0.018439249,-0.988571429,-1,-0.071729958
173,10X477,0.956659619,0.969072165,TRUE,X,0.871,-0.011185682,-0.983191489,-0.121875,-0.049409237
174,10X546,0.904191617,1.158518519,TRUE,X,0.898,-0.245977011,-0.989422222,-0.554216867,0.004689332
175,10X549,0.667057444,0.807783019,TRUE,X,0.913,-0.171586716,-0.990351563,-0.101851852,0.077473182
176,10X696,1,1,FALSE,X,0.276,-0.012919897,-0.990869565,,-0.059233449
178,11X249,0.982,0.982,TRUE,X,0.716,-0.168115942,-0.98979798,0.105263158,-0.030266344
179,11X253,0.746143058,0.783854167,TRUE,X,0.86,-0.271186441,-0.989955556,1.095890411,0.21633888
180,11X265,0.86351706,1.173166927,TRUE,X,0.917,-0.279411765,-0.985519126,1.202702703,0.217877095
181,11X270,1.039716312,1.194254446,TRUE,X,0.805,-0.169336384,-0.991365639,-0.236842105,-0.04136253
182,11X275,1.028811525,1.220134228,TRUE,X,0.84,-0.023381295,-0.989753086,-0.126213592,0.199081164
183,11X288,0.985507246,0.969298246,TRUE,X,0.744,-0.132621951,-0.990847458,-0.2,-0.058007566
184,11X290,0.782248521,0.929928741,TRUE,X,0.879,-0.221258134,-0.991196581,0.394736842,0.185289958
