DBN,Cohort Year,pct_Grads
03M505,2013,37.7
03M505,2012,42.6
03M505,2011,47.1
03M505,2010,51.1
03M505,2009,48.8
03M541,2013,100
03M541,2012,100
03M541,2011,100
03M541,2010,100
03M541,2009,95.7
03M859,2013,98
03M860,2013,80.8
03M860,2012,77.4
03M860,2011,76.6
03M860,2010,82.1
03M860,2009,70.7
04M372,2013,77.2
04M372,2012,81.2
04M372,2011,s
04M372,2010,s
04M409,2013,70.9
04M409,2012,60
04M409,2011,62.5
04M409,2010,55.8
04M409,2009,52.1
04M435,2013,98
04M435,2012,97.1
04M435,2011,98.3
04M435,2010,96.4
04M435,2009,94.5
04M495,2013,99.1
04M495,2012,93.5
04M495,2011,97.9
04M495,2010,96.2
04M495,2009,82.8
04M555,2013,97.3
04M555,2012,94.3
04M555,2011,96.8
04M555,2010,97
04M555,2009,97.7
04M610,2013,100
04M610,2012,100
04M610,2011,100
04M610,2010,100
04M610,2009,100
04M635,2010,82.4
04M635,2009,65.9
04M680,2013,79
04M680,2012,78.5
04M680,2011,76
04M680,2010,78.2
04M680,2009,71.4
05M157,2013,84.5
05M157,2012,s
05M157,2010,s
05M285,2013,43.1
05M285,2012,40
05M285,2011,55.3
05M285,2010,50
05M285,2009,43.9
05M304,2013,81.1
05M304,2012,80.2
05M304,2011,75.5
05M304,2010,82.8
05M304,2009,87.5
05M362,2013,100
05M362,2012,100
05M362,2011,100
05M362,2010,100
05M367,2013,51.4
05M367,2012,53.7
05M367,2011,79.5
05M367,2010,60.9
05M367,2009,69.6
05M369,2013,77.1
05M369,2012,88.1
05M369,2011,81.1
05M369,2010,81.2
05M369,2009,81.7
05M469,2012,80
05M469,2011,45.8
05M469,2010,82.4
05M469,2009,64
05M499,2013,92.8
05M499,2012,89.2
05M499,2011,86.8
05M499,2010,84.8
05M499,2009,88.9
05M670,2013,89.5
05M670,2012,82.7
05M670,2011,93.7
05M670,2010,92.6
05M670,2009,94.1
05M685,2012,41.4
05M685,2011,42.3
05M685,2010,46
05M685,2009,47.7
05M692,2013,100
05M692,2012,100
05M692,2011,97.9
05M692,2010,98.9
05M692,2009,98.9
06M293,2013,98.7
06M293,2012,100
06M293,2011,100
